name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
مطعم وقت الشواية,Afghan Restaurant,"الرياض 14723, المملكة العربية السعودية",24.518983,46.656981,Moderate,0.0,0,0,,
ديوانية عكاظ,Café,"الرياض 14726, المملكة العربية السعودية",24.518511,46.669149,Cheap,0.0,2,0,,
شاهي جمر راعي الجمس,Coffee Shop,"الرياض 14726, المملكة العربية السعودية",24.519314,46.670041,Cheap,0.0,0,0,,
غدير الشام,Afghan Restaurant,المملكة العربية السعودية,24.51952,46.671659999999996,Moderate,0.0,0,0,,
Dunkin',Donut Shop,"الرياض, المملكة العربية السعودية",24.52500124594793,46.433943806043864,Cheap,29.0,90,1,8.9,32.0
Moroccan Taste (المذاق المغربي),Café,"Makkah Al Mukarramah Rd, الرياض, المملكة العربية السعودية",24.524937293050836,46.43353856458267,Cheap,22.0,13,2,8.6,24.0
كرك جدي,Café,"الرياض, المملكة العربية السعودية",24.525067850036105,46.43420344582057,Cheap,24.0,27,1,7.3,33.0
دانكن دونت طريق المزاحميه,"Donut Shop, Coffee Shop","الرياض, المملكة العربية السعودية",24.524959,46.433640999999994,Cheap,0.0,6,0,8.3,0.0
دانكن الدزيه,Coffee Shop,"الرياض 13797, المملكة العربية السعودية",24.524787,46.433555,Cheap,0.0,8,0,,
بارن كافيه   BARNCAFÉ,Café,"الرياض, المملكة العربية السعودية",24.525006,46.433693,Cheap,6.0,12,0,,
بيالة وفنجال للقهوة العربية,"Café, Coffee Shop","الرياض 13797, المملكة العربية السعودية",24.525237,46.434477,Cheap,0.0,3,0,,
Nestro,Coffee Shop,"الرياض 13797, المملكة العربية السعودية",24.523778,46.430222,Cheap,0.0,0,0,,
سيارة آيس كريم,Food Truck,"Second Ring Rd (Second Ring Rd), الرياض, المملكة العربية السعودية",24.79344388133637,46.87824116776024,Cheap,1.0,13,0,,
Starbucks,Coffee Shop,"الرياض 14723, المملكة العربية السعودية",24.522543,46.648866999999996,Cheap,1.0,16,0,8.1,1.0
مطعم البخاري,Middle Eastern Restaurant,"الرياض 14723, المملكة العربية السعودية",24.524101,46.660976,Moderate,0.0,1,0,,
بهارات الأولين,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.525009,46.68766,Moderate,8.0,10,6,7.8,9.0
Perfect Cooker,Asian Restaurant,"Along Aramco road.  Corner Intersection, Industrial City 2, المملكة العربية السعودية",24.520471441351052,46.858387175712394,Moderate,1.0,0,1,,
Koud Restautant,Middle Eastern Restaurant,المملكة العربية السعودية,24.522811197160678,46.8780281006726,Moderate,0.0,0,1,,
city food court,Food Court,المملكة العربية السعودية,24.522197358761648,46.907098746787995,,0.0,1,1,,
Embratoor AlShawerma (امبراطور الشاورما),Shawarma Place,"الرياض, المملكة العربية السعودية",24.525684,46.435516,,1.0,6,0,,
Falafel Pie (فطيرة الفلافل),Falafel Restaurant,"طريق جدة, الرياض, المملكة العربية السعودية",24.525745999999998,46.435683000000004,Cheap,1.0,4,0,,
مطعم بخاري,"Afghan Restaurant, Middle Eastern Restaurant","الرياض 14966, المملكة العربية السعودية",24.530273,46.63415300000001,Moderate,0.0,1,0,,
بوفيه التاج,Fast Food Restaurant,"الرياض 14966, المملكة العربية السعودية",24.52712600000001,46.63751,Cheap,0.0,0,0,,
يب برجر YEP BURGER,Burger Joint,"حي الحزم (شارع القليب بالتقاطع مع شارع محمد بن عرجان), الرياض, المملكة العربية السعودية",24.527554000000002,46.640879999999996,Cheap,5.0,4,6,,
حكاية قهوة Coffee Tale,Coffee Shop,"الرياض, المملكة العربية السعودية",24.5299,46.653504999999996,Cheap,5.0,4,0,,
Kudu,Sandwich Place,"8293 الكهف، الحزم الرياض 14966 4792 Al Kahf, Al Hazm, Riyadh 14966 4792 (مقابل مستشفى الإمام عبدالرحمن الفيصل), الرياض 14966, المملكة العربية السعودية",24.530676,46.65249,Cheap,0.0,1,0,,
الماسة الذهبية,Wings Joint,"عكاظ (الفرسان), الرياض 14723, المملكة العربية السعودية",24.525373000000002,46.662046000000004,Cheap,0.0,0,0,,
اراك كوفي,Coffee Shop,"الرياض 14723, المملكة العربية السعودية",24.526626999999998,46.669282,Cheap,0.0,2,0,,
Burger King,Fast Food Restaurant,"prince mamdooh bin abdulaziz, Riyadh 12241, المملكة العربية السعودية",24.527134822597798,46.669921875,Cheap,1.0,0,0,6.7,1.0
خذلك برجر,Food Truck,"خذلك برجر, الرياض 14726, المملكة العربية السعودية",24.52586152575471,46.669781944164534,Cheap,1.0,2,2,,
‏سيارة الأيسكريم,"Food Truck, Ice Cream Shop","الرياض, المملكة العربية السعودية",24.52817154625421,46.692566424310634,Cheap,0.0,1,0,,
Pizza Hut (بيتزا هت),Pizza Place,"حي الشفاء (طريق ديراب), الرياض, المملكة العربية السعودية",24.53075845495237,46.687127578888855,Cheap,4.0,4,0,,
Croissant Cafe || كروسان كافيه,Café,المملكة العربية السعودية,24.53034133670205,46.68850020655214,Cheap,0.0,3,0,,
بريڤي لاونج,Café,"الرياض, المملكة العربية السعودية",24.528991,46.729956,Cheap,2.0,12,1,,
Kabbani Pattiserie,Bakery,"Jareer St., الرياض, المملكة العربية السعودية",24.529725179389416,46.8961846389116,Cheap,0.0,0,0,,
KFC (كنتاكي),"Fast Food Restaurant, Fried Chicken Joint","Alhazem (Dirab Road), الرياض, المملكة العربية السعودية",24.535847892014125,46.65677051846056,Cheap,2.0,12,1,6.3,7.0
الرياض بارك,New American Restaurant,"شارع بارق, الرياض 14722, المملكة العربية السعودية",24.533847,46.679761,Expensive,0.0,34,0,,
فوال الطائف,Bakery,"الرياض 14725, المملكة العربية السعودية",24.531176000000002,46.686137,Cheap,0.0,0,0,,
Starbucks,Coffee Shop,"الرياض, المملكة العربية السعودية",24.53558928999773,46.68863699968899,Cheap,4.0,12,0,8.0,4.0
ماكدونالدز,American Restaurant,"الرياض 14725, المملكة العربية السعودية",24.53288,46.69714000000001,Moderate,3.0,11,1,,
Dunkin Donuts (دانكن دونتس),Donut Shop,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.53535176259244,46.69324324903404,Cheap,17.0,57,1,8.2,20.0
المشوي العنابي,Middle Eastern Restaurant,"الرياض 14725, المملكة العربية السعودية",24.535543,46.692831,Moderate,6.0,30,3,,
4 Guys,Burger Joint,"الرياض 14725, المملكة العربية السعودية",24.53075,46.695118,Cheap,1.0,13,0,,
وقت العصير,Snack Place,"الرياض 14725, المملكة العربية السعودية",24.535141,46.693363,Cheap,0.0,3,0,,
The Sandwich Co. (ذا ساندوتش كومبني),Burger Joint,"الرياض -حي الشفاء, الرياض 14725, المملكة العربية السعودية",24.53535514630745,46.69304635352495,Cheap,12.0,18,2,7.8,15.0
Al Ennabi Grill,Middle Eastern Restaurant,"Al Shifa Plaza, الرياض 14725, المملكة العربية السعودية",24.535516,46.692814,Moderate,0.0,0,0,,
شاورمر,"Shawarma Place, Fast Food Restaurant, Sandwich Place","الرياض 14725, المملكة العربية السعودية",24.53156700000001,46.695152,,2.0,3,1,6.6,4.0
سيارة ايسكريم 2020,Ice Cream Shop,"Alkhaleefa Almamoon street (Ash Shifa), الرياض 14725, المملكة العربية السعودية",24.532275,46.695833,Cheap,4.0,7,0,,
دومينوز بيتزا,Pizza Place,"حي بدر (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.535510000000002,46.692989000000004,Cheap,1.0,3,0,,
برجر كنج Burger King,Burger Joint,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.535664,46.692673,Cheap,6.0,0,0,,
أعالي الأمواج للمأكولات البحرية,Seafood Restaurant,المملكة العربية السعودية,24.534408,46.697308,Expensive,1.0,0,0,,
monkey cookies مونكي كوكيز,Dessert Shop,"حي بدر (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.535341,46.692655,Cheap,2.0,3,0,,
ايسكريم سلطان,Ice Cream Shop,"الرياض 14725, المملكة العربية السعودية",24.531813,46.695463000000004,Cheap,0.0,5,0,,
Pizza Papa John's (بيتزا بابا جونز),Pizza Place,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.535368,46.692836,Cheap,0.0,2,0,,
Burger King - Shifa 2,Burger Joint,"Al Shifa Plaza, Al Imam Muslim Rd, Near Abdul Samad Al Qurashi, Badr, الرياض 14725, المملكة العربية السعودية",24.53566,46.69276,Cheap,0.0,0,0,,
Pastaliano Pasta & Crepe,Italian Restaurant,"Imam Muslim St. (Alshafa Plaza), الرياض 14725, المملكة العربية السعودية",24.535446,46.692871000000004,Moderate,0.0,0,0,,
Tsc,Restaurant,"alshifa, الرياض 14725, المملكة العربية السعودية",24.535385,46.693226,Moderate,3.0,3,2,7.6,3.0
Domino's Pizza,Pizza Place,"Al Shifa Plaza, Al Imam Muslim St, Badr, الرياض 14725, المملكة العربية السعودية",24.535323,46.692719,Cheap,0.0,0,0,,
Domino's Pizza,Pizza Place,"Alshifaa Plaza (Imam Muslim), الرياض 14725, المملكة العربية السعودية",24.535662,46.693059999999996,Cheap,0.0,1,0,7.3,0.0
Burger King,American Restaurant,"طريق الامام مسلم, الرياض, المملكة العربية السعودية",24.535669,46.69266500000001,Moderate,0.0,1,0,,
Shawerma Emperor (إمبراطور الشاورما),Shawarma Place,"حي بدر (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.536078,46.692529,,0.0,0,0,,
Texas Chicken (دجاج تكساس),"Fried Chicken Joint, Fast Food Restaurant","حي بدر (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.535557,46.693049,Cheap,1.0,0,0,,
SADIG Coffee Shop (صادق كافيه),Coffee Shop,"شارع الخليفة المأمون, الرياض, المملكة العربية السعودية",24.53456460487329,46.698102551804155,Cheap,10.0,14,1,7.5,13.0
قلعة الجود للمشويات الطازجة,BBQ Joint,"a, Riyadh, المملكة العربية السعودية",24.531507547717872,46.70682907104492,Moderate,1.0,2,0,,
